AsOfDate,ganymede_bonds,ganymede_stocks,ganymede_titan_fx,io_bonds,io_stocks,io_titan_fx,titan_bonds,titan_stocks,callisto_bonds,callisto_stocks,callisto_titan_fx,europa_bonds,europa_stocks,europa_titan_fx,helium3,water,titanium,antimatter,aerogel,ultrapure_silicon,germanium,nanocapacitors,hydrocarbons,americium_ore,refined_americium,beryllium,beryllium_monofilaments
1995-01-02,1.0922084831347458,2.3176548104181434,0.9329678309657689,1.0805562744968118,1.153752559092052,0.6506391532291753,1.9884941855025111,2.7844633313141016,1.349192272340051,0.4852130861285598,1.0676661967058583,0.939412087591098,1.108125509645878,1.0097703687026098,1.8391852271960458,1.4585119448299353,1.5593794893008823,0.44215170253165664,2.211106632343634,1.8835325678631087,0.23608681905836487,0.20157990495639752,1.2924348378893833,1.1611686507880992,1.1611686507880992,14.85667572285881,14.85667572285881
1995-01-03,1.0922084831347458,2.3176548104181434,0.9329678309657689,1.0805562744968118,1.153752559092052,0.6528949565544323,1.9884941855025111,2.7844633313141016,1.349192272340051,0.4852130861285598,1.062285690923785,0.939412087591098,1.1002103274341217,1.0097703687026098,1.8391852271960458,1.4585119448299353,1.5593794893008823,0.44215170253165664,2.211106632343634,1.8835325678631087,0.23608681905836487,0.20157990495639752,1.2924348378893833,1.1611686507880992,1.1611686507880992,14.85667572285881,14.85667572285881
1995-01-04,1.096004750608328,2.3003023121899364,0.935855463532067,1.086284199868326,1.1473844443178427,0.6516834919375052,1.9972293341052834,2.7965264238357697,1.349192272340051,0.4852130861285598,1.055307113396797,0.9392004129431504,1.1049594367611755,1.0069489053935992,1.8506158376820374,1.4475949392548608,1.5647504863937671,0.43798155286146023,2.200040032582154,1.8995248255147765,0.23977327556936082,0.19628631501531565,1.2708200890019072,1.1611686507880992,1.1611686507880992,14.85667572285881,14.85667572285881
1995-01-05,1.0941066168715368,2.303569055634302,0.9359867195578078,1.084262579148968,1.1395179495967607,0.6528532249979113,1.9897420638743357,2.7935106507053526,1.3498185801444982,0.48447642658484236,1.0591860846943255,0.9342260587163836,1.0915036270011897,1.0124350840500087,1.8814784859942149,1.470520650962517,1.5844441424010114,0.4357806405355233,2.2133199522959295,1.9261785882675564,0.24054128734248495,0.20030944337053788,1.2924348378893833,1.1611686507880992,1.1611686507880992,14.85667572285881,14.85667572285881
1995-01-06,1.0964513703111023,2.298707698440822,0.9371680237894752,1.089990504520482,1.1578731039459522,0.6475060372629292,1.9909899422461603,2.7926059187662275,1.3490670107791616,0.48152978840997257,1.0547384420617845,0.9377186904075178,1.0917674664082484,1.0042841900462,1.8860507301886114,1.487987859882636,1.581758643854569,0.4355489655538457,2.1934000727252663,1.9279555057844084,0.2413092991156091,0.19692154580824547,1.3026064844246663,1.1607715709673503,1.161565730608848,14.854838967104682,14.855083710415009
1995-01-09,1.0893054550667123,2.3036188873139616,0.9316552707083606,1.085273389508647,1.1503812042115884,0.6529367382404545,1.986622367944774,2.7965264238357697,1.3503196263880557,0.4807931288662551,1.0691594799924027,0.9360252932239376,1.0915036270011897,1.022937197477993,1.86090338711943,1.5174637749353368,1.5593794893008823,0.4325371907920372,2.138067073917868,1.9066324955821845,0.23700843318611386,0.19861549458939168,1.3102352193261284,1.15741512839271,1.1595434160195452,14.863138970964414,14.861145197569371
1995-01-10,1.0851742228160492,2.3209713855421685,0.929161406219285,1.085273389508647,1.1560001290123614,0.6522266016375637,1.9941096381757217,2.7995421969661867,1.3528248576058444,0.48202089477245086,1.0675869477240698,0.9432222312541533,1.0962527363282437,1.0245046770941102,1.8506158376820374,1.5207388766078591,1.5540084922079975,0.43485394060881294,2.1026539546811334,1.9013017430316286,0.23716203554073867,0.1984037509917484,1.2987921169739352,1.1625704317132048,1.164238143802211,14.855994315170637,14.858726993614235
1995-01-11,1.0839460186334198,2.318086684975195,0.9285051260905809,1.0859472630817661,1.147759039304561,0.6515581970089398,1.9997250908489326,2.800446928905312,1.3565827044325274,0.48251200113492915,1.0682467141803302,0.9418463460424944,1.0986272909917705,1.0238776852476634,1.885249945686068,1.5043633682452475,1.5853393085831589,0.436475665480556,2.1247871542040926,1.9261785882675564,0.2331683743204931,0.20052118696818114,1.291799109980928,1.1616994860324745,1.166002145983603,14.857695055228278,14.857710833402402
1995-01-12,1.0779166526459656,2.29930567859674,0.9228611169837255,1.0876319470145646,1.140641734556915,0.6571141924972846,1.9972293341052834,2.7998437742792284,1.3589626740894265,0.47956536296005936,1.0825390775075494,0.9452331404096548,1.0933505028505996,1.0273261404031209,1.8864044159528692,1.505455068802755,1.5862344747653063,0.44215170253165664,2.1181471943472046,1.9563861860540404,0.23332197667511792,0.205814776909263,1.3070565797838525,1.1582532622614357,1.1622927270588739,14.857268138795131,14.858137749835548
1995-01-13,1.0879655959583892,2.288608478029766,0.9292926622450258,1.0926859988129594,1.1492574192514338,0.6546077496031415,2.014699631310828,2.8290967736442743,1.35821110472409,0.4768642779664287,1.0830316502334623,0.9497841453405265,1.0994188092129462,1.0241911811708868,1.8621605403500476,1.5038175179664939,1.5674359849402095,0.43971911522404206,2.0650275154921025,1.9510554335034844,0.22088018595050662,0.20412082812811683,1.3140495867768596,1.1551762395360565,1.159087491982531,14.8459457465979,14.851584464422706
